TABLE_NAME,COLUMN_NAME,DATA_TYPE,COLLATION,NULLABLE,DEFINITION
Message,"""DIRECTION""","""SMALLINT""","""""","""NOT NULL""",DIRECTION SMALLINT  NOT NULL
Message,"""SEND_AFTER""","""TIMESTAMP_LTZ""","""""","""NULL""",SEND_AFTER TIMESTAMP_LTZ  NULL
Message,"""SEND_AFTER_MESSAGE_KEY""","""BIGINT""","""""","""NULL""",SEND_AFTER_MESSAGE_KEY BIGINT  NULL
Message,"""IS_FINISHED""","""BOOLEAN""","""""","""NOT NULL""",IS_FINISHED BOOLEAN  NOT NULL
Message,"""HEADERS""","""VARCHAR(8000)""","""COLLATE en-ci""","""NULL""",HEADERS VARCHAR(8000) COLLATE en-ci NULL
Message,"""VENDOR_ID""","""VARCHAR(8000)""","""COLLATE en-ci""","""NULL""",VENDOR_ID VARCHAR(8000) COLLATE en-ci NULL
Container,"""CONTAINER_KEY""","""INT""","""""","""NOT NULL""",CONTAINER_KEY INT  NOT NULL
Container,"""NAME""","""VARCHAR(8000)""","""COLLATE en-ci""","""NOT NULL""",NAME VARCHAR(8000) COLLATE en-ci NOT NULL
Container,"""DATE_ENTERED""","""TIMESTAMP_LTZ""","""""","""NOT NULL""",DATE_ENTERED TIMESTAMP_LTZ  NOT NULL
Container,"""IS_DELETED""","""BOOLEAN""","""""","""NOT NULL""",IS_DELETED BOOLEAN  NOT NULL
Container,"""IS_DEPRECATED""","""BOOLEAN""","""""","""NOT NULL""",IS_DEPRECATED BOOLEAN  NOT NULL
User,"""USER_KEY""","""INT""","""""","""NOT NULL""",USER_KEY INT  NOT NULL
User,"""USERNAME""","""VARCHAR(8000)""","""COLLATE en-ci""","""NOT NULL""",USERNAME VARCHAR(8000) COLLATE en-ci NOT NULL
User,"""NAME""","""VARCHAR(8000)""","""COLLATE en-ci""","""NOT NULL""",NAME VARCHAR(8000) COLLATE en-ci NOT NULL
User,"""DATE_ENTERED""","""TIMESTAMP_LTZ""","""""","""NOT NULL""",DATE_ENTERED TIMESTAMP_LTZ  NOT NULL
Dataset,"""DATASET_KEY""","""INT""","""""","""NOT NULL""",DATASET_KEY INT  NOT NULL
Dataset,"""NAME""","""VARCHAR(8000)""","""COLLATE en-ci""","""NOT NULL""",NAME VARCHAR(8000) COLLATE en-ci NOT NULL
Dataset,"""DATE_ENTERED""","""TIMESTAMP_LTZ""","""""","""NOT NULL""",DATE_ENTERED TIMESTAMP_LTZ  NOT NULL
Dataset,"""IS_DELETED""","""BOOLEAN""","""""","""NOT NULL""",IS_DELETED BOOLEAN  NOT NULL
Dataset,"""CONTAINER_KEY""","""INT""","""""","""NOT NULL""",CONTAINER_KEY INT  NOT NULL
Dataset,"""ATTRIBUTES""","""INT""","""""","""NOT NULL""",ATTRIBUTES INT  NOT NULL
Dataset,"""ROW_COUNT""","""INT""","""""","""NULL""",ROW_COUNT INT  NULL
Dataset,"""ROW_COUNT_UPDATED""","""TIMESTAMP_LTZ""","""""","""NULL""",ROW_COUNT_UPDATED TIMESTAMP_LTZ  NULL
Global,"""APP_VERSION""","""DECIMAL(38,0)""","""""","""NOT NULL""","APP_VERSION DECIMAL(38,0)  NOT NULL"
Template,"""TEMPLATE_KEY""","""INT""","""""","""NOT NULL""",TEMPLATE_KEY INT  NOT NULL
Template,"""PATH""","""VARCHAR(8000)""","""COLLATE en-ci""","""NOT NULL""",PATH VARCHAR(8000) COLLATE en-ci NOT NULL
Template,"""CONTENT""","""VARCHAR""","""""","""NULL""",CONTENT VARCHAR  NULL
Template,"""TYPE""","""SMALLINT""","""""","""NOT NULL""",TYPE SMALLINT  NOT NULL
Template,"""DATE_ENTERED""","""TIMESTAMP_LTZ""","""""","""NOT NULL""",DATE_ENTERED TIMESTAMP_LTZ  NOT NULL
Template,"""DESCRIPTION""","""VARCHAR(8000)""","""COLLATE en-ci""","""NULL""",DESCRIPTION VARCHAR(8000) COLLATE en-ci NULL
Template,"""BASE_TEMPLATE_KEY""","""INT""","""""","""NULL""",BASE_TEMPLATE_KEY INT  NULL
Template,"""CONTENT_HASH""","""VARCHAR(8000)""","""COLLATE en-ci""","""NULL""",CONTENT_HASH VARCHAR(8000) COLLATE en-ci NULL
Template,"""NOTES""","""VARCHAR(8000)""","""COLLATE en-ci""","""NULL""",NOTES VARCHAR(8000) COLLATE en-ci NULL
Template,"""EDITED_BY""","""VARCHAR(8000)""","""COLLATE en-ci""","""NULL""",EDITED_BY VARCHAR(8000) COLLATE en-ci NULL
Campaign,"""CAMPAIGN_KEY""","""INT""","""""","""NOT NULL""",CAMPAIGN_KEY INT  NOT NULL
Campaign,"""NAME""","""VARCHAR(8000)""","""COLLATE en-ci""","""NULL""",NAME VARCHAR(8000) COLLATE en-ci NULL
Campaign,"""CONTAINER_KEY""","""INT""","""""","""NOT NULL""",CONTAINER_KEY INT  NOT NULL
Campaign,"""DATASET_KEY""","""INT""","""""","""NULL""",DATASET_KEY INT  NULL
Campaign,"""IS_DELETED""","""BOOLEAN""","""""","""NOT NULL""",IS_DELETED BOOLEAN  NOT NULL
Campaign,"""IS_ENABLED""","""BOOLEAN""","""""","""NOT NULL""",IS_ENABLED BOOLEAN  NOT NULL
Campaign,"""IS_PRODUCTION""","""BOOLEAN""","""""","""NOT NULL""",IS_PRODUCTION BOOLEAN  NOT NULL
Campaign,"""DATE_ENTERED""","""TIMESTAMP_LTZ""","""""","""NOT NULL""",DATE_ENTERED TIMESTAMP_LTZ  NOT NULL
Campaign,"""AUTO_START_PATTERN_FOR_DATASET""","""VARCHAR(8000)""","""COLLATE en-ci""","""NULL""",AUTO_START_PATTERN_FOR_DATASET VARCHAR(8000) COLLATE en-ci NULL
Campaign,"""DISALLOW_RENAME""","""BOOLEAN""","""""","""NOT NULL""",DISALLOW_RENAME BOOLEAN  NOT NULL
Campaign,"""IS_SEED_LIST_ENABLED""","""BOOLEAN""","""""","""NOT NULL""",IS_SEED_LIST_ENABLED BOOLEAN  NOT NULL
Campaign,"""SEED_LIST_DATASET_KEY""","""INT""","""""","""NULL""",SEED_LIST_DATASET_KEY INT  NULL
Campaign,"""SEED_LIST_FREQUENCY_DAYS""","""INT""","""""","""NULL""",SEED_LIST_FREQUENCY_DAYS INT  NULL
Campaign,"""SEED_LIST_START_TIME""","""TIME""","""""","""NULL""",SEED_LIST_START_TIME TIME  NULL
Campaign,"""SEED_LIST_SENT_AT""","""TIMESTAMP_LTZ""","""""","""NULL""",SEED_LIST_SENT_AT TIMESTAMP_LTZ  NULL
Campaign,"""SEED_LIST_WILL_SEND_AT""","""TIMESTAMP_LTZ""","""""","""NULL""",SEED_LIST_WILL_SEND_AT TIMESTAMP_LTZ  NULL
Campaign,"""CAMPAIGN_TYPE_KEY""","""INT""","""""","""NULL""",CAMPAIGN_TYPE_KEY INT  NULL
Campaign,"""IS_PRIORITY""","""BOOLEAN""","""""","""NOT NULL""",IS_PRIORITY BOOLEAN  NOT NULL
Campaign,"""SEND_WITHOUT_PREFERENCES""","""BOOLEAN""","""""","""NOT NULL""",SEND_WITHOUT_PREFERENCES BOOLEAN  NOT NULL
Campaign,"""REASON_DISABLED""","""VARCHAR(8000)""","""COLLATE en-ci""","""NULL""",REASON_DISABLED VARCHAR(8000) COLLATE en-ci NULL
DatasetCell,"""DATASET_ROW_KEY""","""BIGINT""","""""","""NOT NULL""",DATASET_ROW_KEY BIGINT  NOT NULL
DatasetCell,"""DATASET_COLUMN_KEY""","""INT""","""""","""NOT NULL""",DATASET_COLUMN_KEY INT  NOT NULL
DatasetCell,"""DATASET_VALUE_KEY""","""BIGINT""","""""","""NOT NULL""",DATASET_VALUE_KEY BIGINT  NOT NULL
DatasetColumn,"""DATASET_COLUMN_KEY""","""INT""","""""","""NOT NULL""",DATASET_COLUMN_KEY INT  NOT NULL
DatasetColumn,"""NAME""","""VARCHAR(8000)""","""COLLATE en-ci""","""NOT NULL""",NAME VARCHAR(8000) COLLATE en-ci NOT NULL
Communication,"""COMMUNICATION_KEY""","""INT""","""""","""NOT NULL""",COMMUNICATION_KEY INT  NOT NULL
Communication,"""CAMPAIGN_KEY""","""INT""","""""","""NOT NULL""",CAMPAIGN_KEY INT  NOT NULL
Communication,"""IS_ENABLED""","""BOOLEAN""","""""","""NOT NULL""",IS_ENABLED BOOLEAN  NOT NULL
Communication,"""IS_DELETED""","""BOOLEAN""","""""","""NOT NULL""",IS_DELETED BOOLEAN  NOT NULL
Communication,"""DATE_ENTERED""","""TIMESTAMP_LTZ""","""""","""NOT NULL""",DATE_ENTERED TIMESTAMP_LTZ  NOT NULL
Communication,"""START_TIME""","""TIME""","""""","""NULL""",START_TIME TIME  NULL
Communication,"""END_TIME""","""TIME""","""""","""NULL""",END_TIME TIME  NULL
Communication,"""LIMIT_PER_HOUR""","""INT""","""""","""NULL""",LIMIT_PER_HOUR INT  NULL
Communication,"""DATE_START""","""TIMESTAMP_LTZ""","""""","""NULL""",DATE_START TIMESTAMP_LTZ  NULL
Communication,"""DATE_END""","""TIMESTAMP_LTZ""","""""","""NULL""",DATE_END TIMESTAMP_LTZ  NULL
Communication,"""WEEKDAYS""","""INT""","""""","""NULL""",WEEKDAYS INT  NULL
Communication,"""TEMPLATE_PATH""","""VARCHAR(8000)""","""COLLATE en-ci""","""NULL""",TEMPLATE_PATH VARCHAR(8000) COLLATE en-ci NULL
Communication,"""CONFIG_PATH""","""VARCHAR(8000)""","""COLLATE en-ci""","""NULL""",CONFIG_PATH VARCHAR(8000) COLLATE en-ci NULL
Communication,"""TYPE""","""SMALLINT""","""""","""NOT NULL""",TYPE SMALLINT  NOT NULL
Communication,"""ENABLE_QUEUE_BEFORE_DATE_START""","""BOOLEAN""","""""","""NULL""",ENABLE_QUEUE_BEFORE_DATE_START BOOLEAN  NULL
Communication,"""IS_PRODUCTION""","""BOOLEAN""","""""","""NOT NULL""",IS_PRODUCTION BOOLEAN  NOT NULL
Communication,"""Provider""","""VARCHAR(8000)""","""COLLATE en-ci""","""NULL""",Provider VARCHAR(8000) COLLATE en-ci NULL
Communication,"""REASON_DISABLED""","""VARCHAR(8000)""","""COLLATE en-ci""","""NULL""",REASON_DISABLED VARCHAR(8000) COLLATE en-ci NULL
CommunicationMailing,"""COMMUNICATION_MAILING_KEY""","""INT""","""""","""NOT NULL""",COMMUNICATION_MAILING_KEY INT  NOT NULL
